  120  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   88  7.3109243697478992E-01  2.9388783466691011E+01  7.6241396314503629E-06  1.4937612583234142E-04  1.9001338439518334E-03  2.9105439795967816E-03
   89  7.3949579831932773E-01  3.1671633538515313E+01  7.2629136972881898E-06  1.5335222736158326E-04  1.9329840643251083E-03  2.8407576644441161E-03
   90  7.4789915966386555E-01  3.4168967727972031E+01  6.9240391150511457E-06  1.5772484604626575E-04  1.9667165241412731E-03  2.7736937095687536E-03
   91  7.5630252100840336E-01  3.6907631619357541E+01  6.6059117309255119E-06  1.6253903778332756E-04  2.0013670780469219E-03  2.7092253363739549E-03
   92  7.6470588235294118E-01  3.9918632978953534E+01  6.3070508835437076E-06  1.6784589959984392E-04  2.0369694745708990E-03  2.6472314434232162E-03
   93  7.7310924369747899E-01  4.3237880872354655E+01  6.0260874580032404E-06  1.7370350109035641E-04  2.0735547316608309E-03  2.5875959366011363E-03
   94  7.8151260504201681E-01  4.6907071895090996E+01  5.7617531430352766E-06  1.8017797928141483E-04  2.1111504810829264E-03  2.5302070936399383E-03
   95  7.8991596638655462E-01  5.0974756443016013E+01  5.5128707852921710E-06  1.8734483038805790E-04  2.1497802988877432E-03  2.4749569660214232E-03
   96  7.9831932773109244E-01  5.5497626294612277E+01  5.2783457514196892E-06  1.9529043997736290E-04  2.1894630434946191E-03  2.4217408227736807E-03
   97  8.0672268907563025E-01  6.0542075499808133E+01  5.0571582220451607E-06  2.0411390326235573E-04  2.2302122267674771E-03  2.3704566419070588E-03
   98  8.1512605042016807E-01  6.6186100409442280E+01  4.8483563519134236E-06  2.1392920021899943E-04  2.2720354462329045E-03  2.3210046560136707E-03
   99  8.2352941176470588E-01  7.2521622623972058E+01  4.6510502370614824E-06  2.2486780673153908E-04  2.3149339078007925E-03  2.2732869587306792E-03
  100  8.3193277310924370E-01  7.9657342014844184E+01  4.4644066332058463E-06  2.3708184404974476E-04  2.3589020675245009E-03  2.2272071782106762E-03
