 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   54  5.3053053053053053E-02  8.6885369886735470E-03  2.3601437609210453E-02  1.3670797576899733E-04  2.5465465605406923E-05  1.6193770273098663E-01
   55  5.4054054054054054E-02  9.4509869028653567E-03  2.1697412798577983E-02  1.3670797612361580E-04  2.5945946106947686E-05  1.5526827249269062E-01
   56  5.5055055055055055E-02  1.0264489290912255E-02  1.9977804931408674E-02  1.3670797651625226E-04  2.6426426611181998E-05  1.4898845940172188E-01
   57  5.6056056056056056E-02  1.1131440415881612E-02  1.8421871542581199E-02  1.3670797695017847E-04  2.6906907118395805E-05  1.4306902585264064E-01
   58  5.7057057057057057E-02  1.2054302792039404E-02  1.7011516110143135E-02  1.3670797742888113E-04  2.7387387628899430E-05  1.3748339742247319E-01
   59  5.8058058058058058E-02  1.3035605784478592E-02  1.5730911959478980E-02  1.3670797795607178E-04  2.7867868143029150E-05  1.3220737901527190E-01
   60  5.9059059059059059E-02  1.4077946203419600E-02  1.4566184927865035E-02  1.3670797853569693E-04  2.8348348661148864E-05  1.2721890551270295E-01
   61  6.0060060060060060E-02  1.5183988893322898E-02  1.3505144807376543E-02  1.3670797917194857E-04  2.8828829183651819E-05  1.2249782223631816E-01
   62  6.1061061061061061E-02  1.6356467316947721E-02  1.2537057411623210E-02  1.3670797986927482E-04  2.9309309710962421E-05  1.1802569123158083E-01
   63  6.2062062062062062E-02  1.7598184134485333E-02  1.1652450581349915E-02  1.3670798063239099E-04  2.9789790243538125E-05  1.1378561997287275E-01
   64  6.3063063063063063E-02  1.8912011777889937E-02  1.0842948630096265E-02  1.3670798146629076E-04  3.0270270781871399E-05  1.0976210958298388E-01
   65  6.4064064064064064E-02  2.0300893020525364E-02  1.0101130691987655E-02  1.3670798237625782E-04  3.0750751326491778E-05  1.0594092007648863E-01
   66  6.5065065065065065E-02  2.1767841542240942E-02  9.4204092148451881E-03  1.3670798336787765E-04  3.1231231877967994E-05  1.0230895048737421E-01
   67  6.6066066066066066E-02  2.3315942489985541E-02  8.7949254789357481E-03  1.3670798444704964E-04  3.1711712436910200E-05  9.8854132038270008E-02
   68  6.7067067067067067E-02  2.4948353034064542E-02  8.2194595430811458E-03  1.3670798561999951E-04  3.2192193003972280E-05  9.5565332760607903E-02
   69  6.8068068068068068E-02  2.6668302920140558E-02  7.6893524478856192E-03  1.3670798689329201E-04  3.2672673579854244E-05  9.2432272189398942E-02
   70  6.9069069069069069E-02  2.8479095017074950E-02  7.2004388583211193E-03  1.3670798827384389E-04  3.3153154165304727E-05  8.9445444939118056E-02
   71  7.0070070070070070E-02  3.0384105860703617E-02  6.7489886190337633E-03  1.3670798976893719E-04  3.3633634761123571E-05  8.6596052123470667E-02
   72  7.1071071071071071E-02  3.2386786193637198E-02  6.3316559368782405E-03  1.3670799138623280E-04  3.4114115368164511E-05  8.3875939715737585E-02
   73  7.2072072072072072E-02  3.4490661501172591E-02  5.9454351054909453E-03  1.3670799313378437E-04  3.4594595987337958E-05  8.1277543061420421E-02
   74  7.3073073073073073E-02  3.6699332543399677E-02  5.5876218535467282E-03  1.3670799502005245E-04  3.5075076619613886E-05  7.8793836853925521E-02
   75  7.4074074074074074E-02  3.9016475883584248E-02  5.2557795376684966E-03  1.3670799705391898E-04  3.5555557266024813E-05  7.6418289969443084E-02
   76  7.5075075075075075E-02  4.1445844412905397E-02  4.9477095176085007E-03  1.3670799924470210E-04  3.6036037927668900E-05  7.4144824631021963E-02
   77  7.6076076076076076E-02  4.3991267871623029E-02  4.6614251492290789E-03  1.3670800160217118E-04  3.6516518605713150E-05  7.1967779435808627E-02
