 1000  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
  127  1.2612612612612613E-01  7.7563900723041444E+00  1.8245210218802583E-04  9.4344644938814992E-04  3.0273310817979158E-04  1.4238137447949271E-02
  128  1.2712712712712713E-01  8.0374144886296904E+00  1.7607615813642218E-04  9.4346470967195482E-04  3.0513736781305544E-04  1.3987143228949068E-02
  129  1.2812812812812813E-01  8.3263036664730764E+00  1.6997046044424856E-04  9.4348377865937588E-04  3.0754172497516962E-04  1.3742491301080608E-02
  130  1.2912912912912913E-01  8.6232143371689922E+00  1.6412157611371816E-04  9.4350368545505770E-04  3.0994618396530110E-04  1.3503973740829778E-02
  131  1.3013013013013013E-01  8.9283051518994025E+00  1.5851683672143417E-04  9.4352445997518479E-04  3.1235074923645553E-04  1.3271390981331660E-02
  132  1.3113113113113113E-01  9.2417366937990858E+00  1.5314428947054339E-04  9.4354613296380661E-04  3.1475542539972607E-04  1.3044551415588698E-02
  133  1.3213213213213213E-01  9.5636714902711152E+00  1.4799265171894236E-04  9.4356873600938110E-04  3.1716021722862554E-04  1.2823271021378038E-02
  134  1.3313313313313313E-01  9.8942740255220695E+00  1.4305126871272659E-04  9.4359230156153910E-04  3.1956512966350278E-04  1.2607373006509000E-02
  135  1.3413413413413413E-01  1.0233710753327061E+01  1.3831007427701066E-04  9.4361686294807242E-04  3.2197016781604426E-04  1.2396687473183699E-02
  136  1.3513513513513514E-01  1.0582150110034977E+01  1.3375955423708726E-04  9.4364245439214835E-04  3.2437533697386176E-04  1.2191051100298816E-02
  137  1.3613613613613614E-01  1.0939762527824645E+01  1.2939071236184325E-04  9.4366911102975335E-04  3.2678064260516737E-04  1.1990306842605232E-02
  138  1.3713713713713714E-01  1.1306720448222970E+01  1.2519503863859381E-04  9.4369686892736902E-04  3.2918609036353661E-04  1.1794303645715014E-02
  139  1.3813813813813814E-01  1.1683198335896402E+01  1.2116447970419675E-04  9.4372576509988328E-04  3.3159168609276067E-04  1.1602896176012683E-02
  140  1.3913913913913914E-01  1.2069372692727468E+01  1.1729141127161608E-04  9.4375583752873995E-04  3.3399743583178889E-04  1.1415944564590161E-02
  141  1.4014014014014014E-01  1.2465422072188432E+01  1.1356861240414926E-04  9.4378712518033011E-04  3.3640334581976240E-04  1.1233314164382718E-02
  142  1.4114114114114114E-01  1.2871527094024502E+01  1.0998924150143638E-04  9.4381966802462843E-04  3.3880942250113995E-04  1.1054875319736958E-02
  143  1.4214214214214214E-01  1.3287870459259415E+01  1.0654681387223759E-04  9.4385350705407810E-04  3.4121567253091693E-04  1.0880503147691777E-02
  144  1.4314314314314314E-01  1.3714636965536561E+01  1.0323518077889566E-04  9.4388868430272798E-04  3.4362210277993861E-04  1.0710077330299496E-02
  145  1.4414414414414414E-01  1.4152013522809236E+01  1.0004850984747919E-04  9.4392524286562571E-04  3.4602872034030869E-04  1.0543481917357451E-02
  146  1.4514514514514515E-01  1.4600189169394000E+01  9.6981266745907269E-05  9.4396322691847056E-04  3.4843553253089399E-04  1.0380605138960256E-02
  147  1.4614614614614615E-01  1.5059355088401530E+01  9.4028198039959791E-05  9.4400268173753024E-04  3.5084254690292659E-04  1.0221339227320231E-02
  148  1.4714714714714715E-01  1.5529704624559796E+01  9.1184315144041454E-05  9.4404365371982566E-04  3.5324977124570419E-04  1.0065580247338035E-02
  149  1.4814814814814815E-01  1.6011433301444788E+01  8.8444879289950760E-05  9.4408619040358807E-04  3.5565721359238991E-04  9.9132279354378459E-03
  150  1.4914914914914915E-01  1.6504738839134514E+01  8.5805387442758997E-05  9.4413034048899291E-04  3.5806488222591253E-04  9.7641855462113857E-03
  151  1.5015015015015015E-01  1.7009821172302413E+01  8.3261559098275942E-05  9.4417615385917521E-04  3.6047278568496810E-04  9.6183597064431330E-03
  152  1.5115115115115115E-01  1.7526882468766812E+01  8.0809323901511252E-05  9.4422368160153105E-04  3.6288093277012416E-04  9.4756602761151078E-03
  153  1.5215215215215215E-01  1.8056127148513529E+01  7.8444810030071780E-05  9.4427297602931035E-04  3.6528933255002753E-04  9.3360002160139807E-03
  154  1.5315315315315315E-01  1.8597761903209234E+01  7.6164333290600388E-05  9.4432409070350585E-04  3.6769799436771664E-04  9.1992954615859574E-03
  155  1.5415415415415415E-01  1.9151995716223678E+01  7.3964386880192920E-05  9.4437708045504379E-04  3.7010692784703972E-04  9.0654648027061056E-03
  156  1.5515515515515516E-01  1.9719039883179419E+01  7.1841631768255640E-05  9.4443200140728173E-04  3.7251614289917958E-04  8.9344297690486004E-03
  157  1.5615615615615616E-01  2.0299108033048220E+01  6.9792887657511752E-05  9.4448891099881923E-04  3.7492564972928636E-04  8.8061145207628796E-03
  158  1.5715715715715716E-01  2.0892416149813839E+01  6.7815124485856339E-05  9.4454786800662730E-04  3.7733545884321912E-04  8.6804457441780119E-03
  159  1.5815815815815816E-01  2.1499182594721489E+01  6.5905454433515845E-05  9.4460893256950276E-04  3.7974558105439746E-04  8.5573525522737755E-03
  160  1.5915915915915916E-01  2.2119628129134846E+01  6.4061124402510626E-05  9.4467216621185387E-04  3.8215602749076420E-04  8.4367663896720941E-03
  161  1.6016016016016016E-01  2.2753975938022044E+01  6.2279508937765085E-05  9.4473763186782377E-04  3.8456680960186023E-04  8.3186209419166675E-03
  162  1.6116116116116116E-01  2.3402451654092754E+01  6.0558103561375728E-05  9.4480539390575854E-04  3.8697793916601260E-04  8.2028520488219172E-03
  163  1.6216216216216216E-01  2.4065283382609020E+01  5.8894518493548002E-05  9.4487551815302694E-04  3.8938942829763702E-04  8.0893976216848191E-03
  164  1.6316316316316316E-01  2.4742701726893210E+01  5.7286472735561517E-05  9.4494807192119920E-04  3.9180128945465571E-04  7.9781975641648618E-03
  165  1.6416416416416416E-01  2.5434939814557088E+01  5.5731788491832629E-05  9.4502312403159224E-04  3.9421353544603190E-04  7.8691936966483162E-03
  166  1.6516516516516517E-01  2.6142233324476685E+01  5.4228385909724586E-05  9.4510074484118938E-04  3.9662617943942195E-04  7.7623296839232622E-03
  167  1.6616616616616617E-01  2.6864820514538351E+01  5.2774278117218858E-05  9.4518100626894244E-04  3.9903923496894622E-04  7.6575509660014570E-03
  168  1.6716716716716717E-01  2.7602942250182105E+01  5.1367566539916331E-05  9.4526398182246480E-04  4.0145271594307988E-04  7.5548046919321728E-03
  169  1.6816816816816817E-01  2.8356842033769101E+01  5.0006436480092299E-05  9.4534974662512394E-04  4.0386663665266464E-04  7.4540396564616262E-03
  170  1.6916916916916917E-01  2.9126766034800818E+01  4.8689152941692585E-05  9.4543837744354266E-04  4.0628101177904270E-04  7.3552062393996047E-03
  171  1.7017017017017017E-01  2.9912963121018356E+01  4.7414056686236861E-05  9.4552995271551806E-04  4.0869585640231385E-04  7.2582563475623985E-03
  172  1.7117117117117117E-01  3.0715684890410991E+01  4.6179560505595901E-05  9.4562455257836816E-04  4.1111118600971700E-04  7.1631433591681976E-03
  173  1.7217217217217217E-01  3.1535185704164009E+01  4.4984145698538235E-05  9.4572225889771596E-04  4.1352701650413721E-04  7.0698220705677545E-03
  174  1.7317317317317317E-01  3.2371722720576654E+01  4.3826358738803920E-05  9.4582315529672141E-04  4.1594336421273930E-04  6.9782486451993513E-03
  175  1.7417417417417417E-01  3.3225555929981896E+01  4.2704808123264134E-05  9.4592732718577184E-04  4.1836024589572932E-04  6.8883805646629905E-03
  176  1.7517517517517518E-01  3.4096948190700641E+01  4.1618161389469609E-05  9.4603486179264209E-04  4.2077767875524483E-04  6.8001765818142637E-03
  177  1.7617617617617618E-01  3.4986165266063901E+01  4.0565142292582895E-05  9.4614584819313567E-04  4.2319568044437529E-04  6.7135966757835631E-03
  178  1.7717717717717718E-01  3.5893475862537388E+01  3.9544528132333080E-05  9.4626037734221879E-04  4.2561426907631360E-04  6.6286020088312138E-03
  179  1.7817817817817818E-01  3.6819151668984002E+01  3.8555147221230409E-05  9.4637854210565971E-04  4.2803346323364003E-04  6.5451548849537388E-03
  180  1.7917917917917918E-01  3.7763467397100632E+01  3.7595876485835698E-05  9.4650043729218583E-04  4.3045328197773957E-04  6.4632187101608283E-03
  181  1.8018018018018018E-01  3.8726700823066770E+01  3.6665639193398573E-05  9.4662615968617188E-04  4.3287374485835391E-04  6.3827579543467098E-03
  182  1.8118118118118118E-01  3.9709132830443461E+01  3.5763402796662112E-05  9.4675580808087269E-04  4.3529487192326926E-04  6.3037381146834979E-03
  183  1.8218218218218218E-01  4.0711047454362220E+01  3.4888176890082249E-05  9.4688948331221458E-04  4.3771668372814100E-04  6.2261256804677722E-03
  184  1.8318318318318318E-01  4.1732731927044682E+01  3.4039011271130460E-05  9.4702728829315999E-04  4.4013920134645650E-04  6.1498880993550933E-03
